172	96
172	106
174	117
176	127
180	137
185	146
193	153
202	158
211	159
220	156
228	149
234	140
238	130
241	120
241	110
242	100
241	90
179	86
184	81
190	79
197	79
202	81
212	80
217	76
223	74
230	75
234	79
208	88
209	95
209	101
210	108
202	115
206	116
209	116
213	115
216	114
187	92
190	89
194	88
199	91
195	92
191	92
216	89
220	85
224	85
227	87
224	88
220	89
194	130
199	125
205	123
209	124
213	122
219	124
222	127
219	135
214	139
210	140
206	140
200	137
196	129
205	126
209	126
213	125
221	127
214	134
210	135
205	135
