179	114
179	125
180	137
183	149
186	159
192	169
199	177
207	182
217	184
225	182
233	175
240	167
245	157
248	146
250	135
250	123
249	112
186	97
191	92
197	90
204	92
209	95
220	95
226	92
232	90
239	92
243	97
215	108
215	116
215	124
215	131
208	140
212	141
215	142
219	142
222	141
192	109
196	106
201	107
206	112
201	113
196	112
224	112
228	107
234	106
238	110
235	113
229	113
202	158
208	154
212	152
215	153
218	153
223	155
228	158
223	161
218	163
215	163
212	163
208	161
205	158
213	157
215	158
219	157
226	158
218	158
215	158
212	158
