176	104
176	115
177	126
179	137
183	148
188	157
196	165
204	170
214	171
223	169
230	162
237	153
241	143
244	133
245	122
246	112
245	102
183	91
187	86
194	84
200	85
206	88
216	87
221	84
227	82
233	83
238	87
212	98
212	105
212	113
212	120
205	127
209	128
212	129
216	128
219	127
190	100
193	97
198	97
202	101
198	102
193	102
220	101
224	96
228	96
232	99
229	101
224	101
198	143
204	139
209	137
212	138
216	137
221	138
225	142
221	148
216	150
212	151
209	150
204	148
200	143
209	142
212	142
216	141
224	142
216	144
212	145
209	145
